name,lat,lon
Obchodní centrum Štěrboholy,50.07217,14.542742
U Václava,50.11439,14.312211
Hutmanka,50.056854,14.369463
Třebonice,50.04515,14.280443
Jižní Město,50.034378,14.537989
Tupolevova,50.134506,14.505892
Nádraží Podbaba,50.111816,14.394122
Zatáčka,50.025257,14.42515
Motol,50.068302,14.335325
Smržovská,50.09491,14.668839
Novodvorská,50.023308,14.440515
Marjánka,50.084538,14.375696
Na Knížecí,50.068565,14.405256
Hlavní nádraží,50.084007,14.434799
Lomy,49.998276,14.329468
Škola Dubeč,50.06292,14.590977
Nový Střížkov,50.11852,14.483915
Blažimská,50.042584,14.49285
Barvy a laky,50.065506,14.537081
Letňany,50.125614,14.51615
Římská,50.076767,14.435407
Nádraží Cibulka,50.065533,14.363369
Koloděje,50.060158,14.640762
Hejtmanská,50.105343,14.557119
Mezi Hřbitovy,50.081657,14.471742
U Libušské sokolovny,50.0048,14.464351
Kovářova - KD Mlejn,50.048317,14.317825
Vodičkova,50.07985,14.423084
Ohradní,50.05237,14.453601
Praha-Dolní Počernice,50.08828,14.569302
Pod Dálnicí,50.045,14.461594
Chodovická,50.112618,14.617674
Novoměstská radnice,50.077457,14.419522
Nad Rybníkem,50.087315,14.58613
U Hangáru,50.1083,14.277419
Pavlišovská,50.111343,14.622484
Nádraží Velká Chuchle,50.011425,14.389142
Pod Vsí,50.0113,14.514359
Franty Kocourka,50.06065,14.403367
U Památníku,50.08679,14.445906
Praha-Modřany zast.,50.00394,14.403092
Nádraží Jinonice,50.056553,14.370886
Petřiny,50.087505,14.344923
Náměstí Jiřího Berana,50.150494,14.5266
